taxon_group,verbatim_name,name,"name to use (if different from ""name"")",name comment field,Comment,notes,Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,comments,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,Corrections to pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name
benthic_forams,Miliolinella subrotunda,Miliolinella subrotunda,,,,"in PBDB, so it will be classified correctly",,,Miliolinella,,,,subrotunda,,,,,1852,Miliolinella,genus,,155936,Hauerinidae,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Monalysidium spp.,Monalysidium spp.,,,,"in PBDB, so it will be classified correctly",,,Monalysidium,,,,spp.,,,,,240608,Monalysidium,genus,,153354,Peneroplidae,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Mucronina acuta,Mucronina acuta,,,,"in PBDB, but classification differs to WoRMS",,,Mucronina,,,,acuta,,,,,1884,Mucronina,genus,,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Mucronina compressa,Mucronina compressa,,,,"in PBDB, but classification differs to WoRMS",,,Mucronina,,,,compressa,,,,,1884,Mucronina,genus,,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Myllostomella costai,Myllostomella costai,,,"in PBDB, but not accepted; Accepted as: Strictocostella Patterson, 1987",,,,Myllostomella,,,,costai,,,,,433665,Myllostomella,genus,,155931,Stilostomellidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Myllostomella fijiensis,Myllostomella fijiensis,,,"in PBDB, but not accepted; Accepted as: Strictocostella Patterson, 1988",,,,Myllostomella,,,,fijiensis,,,,,433665,Myllostomella,genus,,155931,Stilostomellidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Myllostomella huygaensis,Myllostomella huygaensis,,,"in PBDB, but not accepted; Accepted as: Strictocostella Patterson, 1989",,,,Myllostomella,,,,huygaensis,,,,,433665,Myllostomella,genus,,155931,Stilostomellidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Myllostomella spp.?,Myllostomella spp.?,Myllostomella spp.,,"in PBDB, but not accepted; Accepted as: Strictocostella Patterson, 1990",,,,Myllostomella,,,,spp.,,,,,433665,Myllostomella,genus,,155931,Stilostomellidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Neobulimina canadaensis,Neobulimina canadaensis,,,,"in PBDB, so it will be classified correctly",,,Neobulimina,,,,canadaensis,,,,,1908,Neobulimina,genus,,241013,Turrilinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Neoconorbina spp.,Neoconorbina spp.,,,,"in PBDB, so will be classified correctly",,,Neoconorbina,,,,spp.,,,,,97769,Neoconorbina,genus,,241432,Rosalinidae,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Neoeponides campester,Neoeponides campester,,,,"in PBDB, so will be classified correctly",,,Neoeponides ,,,,campester,,,,,1913,Neoeponides,genus,,82203,Discorbidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Neoeponides hillebrandti,Neoeponides hillebrandti,,,,"in PBDB, so will be classified correctly",,,Neoeponides,,,,hillebrandti,,,,,1913,Neoeponides,genus,,82203,Discorbidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Neoeponides margaritifer,Neoeponides margaritifer,,,,"in PBDB, so will be classified correctly",,,Neoeponides,,,,margaritifer,,,,,1913,Neoeponides,genus,,82203,Discorbidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Neoeponides procerus,Neoeponides procerus,,,,"in PBDB, so will be classified correctly",,,Neoeponides,,,,procerus,,,,,1913,Neoeponides,genus,,82203,Discorbidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Neoeponides sp.,Neoeponides sp.,,,,"in PBDB, so will be classified correctly",,,Neoeponides,,,,sp.,,,,,1913,Neoeponides,genus,,82203,Discorbidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Neoeponides spp.,Neoeponides spp.,,,,"in PBDB, so will be classified correctly",,,Neoeponides,,,,spp.,,,,,1913,Neoeponides,genus,,82203,Discorbidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Neoeponides spp.?,Neoeponides spp.?,Neoeponides spp.,,,"in PBDB, so will be classified correctly",,,Neoeponides,,,,spp.,,,,,1913,Neoeponides,genus,,82203,Discorbidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Neoflabellina semireticulata,Neoflabellina semireticulata,,,,"in PBDB, so will be classified correctly",,,Neoflabellina,,,,semireticulata,,,,,1914,Neoflabellina,genus,,112281,Vaginulinidae,428878,Vaginulinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Neoflabellina sp.,Neoflabellina sp.,,,,"in PBDB, so will be classified correctly",,,Neoflabellina,,,,sp.,,,,,1914,Neoflabellina,genus,,112281,Vaginulinidae,428878,Vaginulinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Neogloboquadrina humerosa,Neogloboquadrina humerosa,,,,"in PBDB, but higher taxonomic ranks are absent ",,,Neogloboquadrina,,,,humerosa,,,,,1917,Neogloboquadrina,genus,,82192,Globorotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
